id,modelId,modelFullName,name,leather,gearbox,engine,fuel,fuelTankSize,fuelMixt,fuelUrban,batteryVoltage,batteryAutonomy,horsePower,horsePowerFiscal
1,1,ALFA ROMEO GIULIA,2.2 180 CH AT8,1,Automatic,Combustion,Diesel,52,4.2,5.3,,,179,9
2,2,AUDI A4,2.0 TDI 150 STRONIC ADVANCED,1,Automatic,Combustion,Diesel,63,4.8,5.5,,,150,8
3,3,AUDI A6,2.0 TDI ULTRA 190 STRONIC 7,0,Automatic,Combustion,Diesel,73,4.2,4.7,,,190,10
4,4,AUDI A5,SPORTBACK 2.0 TDI 190 STRONIC 7,0,Automatic,Combustion,Diesel,40,4.3,4.9,,,190,10
5,5,BMW SERIE 2 GT,Active Tourer I (F45) 216d 116ch Business Design,0,Manual,Combustion,Diesel,51,4,4.4,,,116,6
6,6,BMW SERIE 3,318D 150 LOUNGE BVA8,1,Automatic,Combustion,Diesel,57,4.5,5.3,,,150,8
7,7,BMW SERIE 5,518dA 150ch Business Design Euro6d-T,1,Automatic,Combustion,Diesel,66,4.4,5,,,150,8
8,8,BMW SERIE 7,730D 265 BVA8,1,Automatic,Combustion,Diesel,78,4.7,5.5,,,265,15
9,9,FIAT Tipo Station Wagon (SW),1.6 MULTIJET 120 EASY,0,Manual,Combustion,Diesel,50,3.7,4.4,,,120,6
10,10,FIAT Tipo Berline,1.6 MULTIJET 120 CH EASY,0,Manual,Combustion,Diesel,45,4.2,5.2,,,120,6
11,11,FORD Mondeo Vignale,Ford MONDEO IV 2.0 TDCI 180 POWERSHIFT I-AWD,1,Automatic,Combustion,Diesel,63,5.3,6.1,,,180,10
12,12,FORD Mondeo Titanium - Cuir,IV 2.0 TDCI 150 ST-LINE POWERSHIFT 5P,1,Automatic,Combustion,Diesel,63,5.4,6.1,,,150,8
13,13,FORD Focus SW,III 1.5 TDCi 120ch Stop&Start Trend,0,Manual,Combustion,Diesel,53,3.8,4.3,,,120,6
14,14,INFINITI Q50,2.2 D 170 BUSINESS EXECUTIVE 7AT,1,Automatic,Combustion,Diesel,74,4.5,5.7,,,170,9
15,15,JAGUAR XE,2.0D 180ch BVA8,1,Automatic,Combustion,Diesel,56,4.2,5,,,180,9
16,16,JAGUAR XF,II 2.0D 180 9CV PRESTIGE,1,Automatic,Combustion,Diesel,66,4.3,5.1,,,180,9
17,17,LEXUS IS 300,Diesel,1,Automatic,Combustion,Diesel,,5.8,,,,,
18,18,MAZDA 6,III 2.2 SKYACTIV-D 150 Dynamique BVA,0,Automatic,Combustion,Diesel,62,4.8,6,,,150,8
19,18,MAZDA 6,III 2.5 SKYACTIV-G 192 Sélection BVA,0,Automatic,Combustion,Petrol,62,6.3,8.5,,,192,11
20,19,MERCEDES Classe V,II 250 d Compact 4Matic 7G-Tronic Plus,1,Automatic,Combustion,Diesel,70,6.6,7.5,,,190,11
21,19,MERCEDES Classe V,II 200 d Compact Business Executive 4Matic 7G-Tronic Plus,1,Automatic,Combustion,Diesel,70,6.6,7.5,,,136,8
22,20,MERCEDES CLA,I (C117) 180 d Sensation 7G-DCT,1,Automatic,Combustion,Diesel,50,4,4.6,,,109,5
23,21,MERCEDES Classe C,200d 136ch 9G Tronic 2.2L,1,Automatic,Combustion,Diesel,66,4.1,4.8,,,136,7
24,21,MERCEDES Classe C,200 D 150ch 9G-Tronic AMG Line,1,Automatic,Combustion,Diesel,66,4.4,5.3,,,150,8
25,21,MERCEDES Classe C,220 BlueTEC Sportline 7G-Tronic Plus,1,Automatic,Combustion,Diesel,66,4.4,5.4,,,170,9
26,22,MERCEDES Classe E,250 BVA,1,Automatic,Combustion,Diesel,66,5.3,6.4,,,204,11
27,22,MERCEDES Classe E,220 D Executive-Sportline,1,Automatic,Combustion,Diesel,66,5.1,5.9,,,194,11
28,22,MERCEDES Classe E,E 200 D 156ch 9G Tronic 2.2L,1,Automatic,Combustion,Diesel,66,4.7,5.5,,,150,8
29,22,MERCEDES Classe E,200 D 136ch BlueTEC BVA,1,Automatic,Combustion,Diesel,80,4.7,5.6,,,136,7
30,23,MERCEDES Classe S,VII 350 BLUETEC 4MATIC,1,Automatic,Combustion,Diesel,70,5.9,7.4,,,130,16
31,23,MERCEDES Classe S,VII 350 BLUETEC EXECUTIVE,1,Automatic,Combustion,Diesel,70,5.7,7.2,,,258,15
32,24,NISSAN Leaf 2018,II 150ch 40kWh Visia Business,1,Automatic,Electric,,,,,40,275,,
33,25,OPEL ASTRA TOURER (GT),II 1.6 CDTI 136ch,1,Automatic,Combustion,Diesel,48,3.9,4.7,,,136,7
34,26,OPEL INSIGNIA,1.6 CDTI 136 CH ECOFLEX,1,Manual,Combustion,Diesel,70,3.9,4.7,,,136,7
35,27,OPEL INSIGNIA Grand Sport,II 1.6 D 136ch Elite Auto,1,Automatic,Combustion,Diesel,62,5.1,6.1,,,136,7
36,28,PEUGEOT 508,1.6 BlueHDI 120 Active Business,1,Automatic,Combustion,Diesel,72,3.8,4;3,,,120,6
37,28,PEUGEOT 508,II 1.5 BLUEHDI 130 S&S ALLURE EAT8,1,Automatic,Combustion,Diesel,55,3.7,4.4,,,130,6
38,28,PEUGEOT 508,1.6 e-HDi 115ch FAP Allure ETG6,1,Automatic,Combustion,Diesel,72,4,4.6,,,115,6
39,28,PEUGEOT 508,2.0 BlueHDi 150ch FAP Féline,1,Manual,Combustion,Diesel,72,4.1,4.9,,,150,7
40,29,RENAULT Talisman,I (LFD) 1.6 dCi 130ch energy Zen - Tissu,0,Manual,Combustion,Diesel,52,3.9,4.5,,,130,6
41,29,RENAULT Talisman,I (LFD) 1.6 dCi 160ch energy Initiale Paris EDC - Tissu,0,Automatic,Combustion,Diesel,47,4.4,5,,,160,8
42,29,RENAULT Talisman,1.6 DCI 130 ENERGY ZEN - Cuir,1,Manual,Combustion,Diesel,52,3.9,4.5,,,130,6
43,29,RENAULT Talisman,I (LFD) 1.6 dCi 130ch energy Intens - Cuir,1,Automatic,Combustion,Diesel,52,3.9,4.5,,,130,6
